term	vocabulary_id	comment
Theory of Mind	ONVOC:0000501	
Empathy	ONVOC:0000502	
Social Perception	ONVOC:0000503	
Moral Reasoning	ONVOC:0000459	
Social Decision Making	ONVOC:0000504	
Lying	ONVOC:0000505	
