term	vocabulary_id	comment
Attentional Control	ONVOC:0000465	
Cognitive Inhibition	ONVOC:0000466	
Inhibitory Control	ONVOC:0000467	
Cognitive Flexibility	ONVOC:0000468	
Planning	ONVOC:0000469	
Problem Solving	ONVOC:0000470	
Metacognition	ONVOC:0000471	
Mindset	ONVOC:0000472	
Self-Regulation	ONVOC:0000473	
Cognitive Load	ONVOC:0000474	
