term	vocabulary_id	comment
Cannabis	ONVOC:0000330	
Delta-9-Tetrahydrocannabinol	ONVOC:0000331	
Tetrahydrocannabivarin	ONVOC:0000332	
Cannabigerol	ONVOC:0000333	
Cannabidiol	ONVOC:0000334	
Cannabichromene	ONVOC:0000335	
