term	vocabulary_id	comment
Theory of Mind	ONVOC:0000488	
Empathy	ONVOC:0000489	
Social Perception	ONVOC:0000490	
Moral Reasoning	ONVOC:0000491	
Social Decision Making	ONVOC:0000492	
