term	vocabulary_id	comment
Working Memory	ONVOC:0000480	
Short-Term Memory	ONVOC:0000481	
Long-Term Memory	ONVOC:0000482	
Declarative Memory	ONVOC:0000483	
Procedural Memory	ONVOC:0000484	
Episodic Memory	ONVOC:0000485	
Semantic Memory	ONVOC:0000486	
