term	vocabulary_id	comment
Primary School Education	ONVOC:0000359	
Middle School Education	ONVOC:0000360	
High School Education	ONVOC:0000361	
Post-Secondary Education	ONVOC:0000362	
Tertiary Education	ONVOC:0000363	
